0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0 0
131 0 0
132 0 0
133 0 0
134 0 0
135 0 0
136 0 0
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0
146 0 0
147 0 0
148 0 0
149 0 0
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
201 0 0
202 0 0
203 0 0
204 0 0
205 0 0
206 0 0
207 0 0
208 0 0
209 0 0
210 0 0
211 0 0
212 0 0
213 0 0
214 0 0
215 0 0
216 0 0
217 0 0
218 0 0
219 0 0
220 0 0
221 0 0
222 0 0
223 0 0
224 0 0
225 0 0
226 0 0
227 0 0
228 0 0
229 0 0
230 0 0
231 0 0
232 0 0
233 0 0
234 0 0
235 0 0
236 0 0
237 0 0
238 0 0
239 0 0
240 0 0
241 0 0
242 0 0
243 0 0
244 0 0
245 0 0
246 0 0
247 0 0
248 0 0
249 0 0
250 0 0
251 0 0
252 0 0
253 0 0
254 0 0
255 0 0
256 0 0
257 0 0
258 0 0
259 0 0
260 0 0
261 0 0
262 0 0
263 0 0
264 0 0
265 0 0
266 0 0
267 0 0
268 0 0
269 0 0
270 0 0
271 0 0
272 0 0
273 0 0
274 0 0
275 0 0
276 0 0
277 0 0
278 0 0
279 0 0
280 0 0
281 0 0
282 0 0
283 0 0
284 0 0
285 0 0
286 0 0
287 0 0
288 0 0
289 0 0
290 0 0
291 0 0
292 0 0
293 0 0
294 0 0
295 0 0
296 0 0
297 0 0
298 0 0
299 0 0
300 0 0
301 0 0
302 0 0
303 0 0
304 0 0
305 0 0
306 0 0
307 0 0
308 0 0
309 0 0
310 0 0
311 0 0
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0 0
318 0 0
319 0 0
320 0 0
321 0 0
322 0 0
323 0 0
324 0 0
325 0 0
326 0 0
327 0 0
328 0 0
329 0 0
330 0 0
331 0 0
332 0 0
333 0 0
334 0 1
335 0 1
336 0 1
337 0 1
338 0 1
339 0 1
340 0 1
341 0 1
342 0 1
343 0 1
344 0 1
345 0 1
346 0 1
347 0 1
348 0 1
349 0 1
350 0 1
351 0 1
352 0 1
353 0 1
354 0 1
355 0 1
356 0 1
357 0 1
358 0 1
359 0 1
360 0 1
361 0 1
362 0 1
363 0 1
364 0 1
365 0 1
366 0 1
367 0 1
368 0 1
369 0 1
370 0 1
371 0 1
372 0 1
373 0 1
374 0 1
375 0 2
376 0 2
377 0 2
378 0 2
379 0 3
380 0 3
381 0 3
382 0 3
383 0 3
384 0 3
385 0 3
386 0 3
387 0 3
388 0 3
389 0 3
390 0 3
391 0 3
392 0 3
393 0 3
394 0 3
395 0 3
396 0 3
397 0 4
398 0 4
399 0 4
400 0 4
401 0 4
402 0 4
403 0 4
404 0 4
405 0 4
406 0 4
407 0 4
408 0 4
409 0 4
410 0 4
411 0 4
412 0 4
413 0 4
414 0 5
415 0 5
416 0 5
417 0 5
418 0 5
419 0 5
420 0 5
421 0 5
422 0 5
423 0 5
424 0 5
425 0 5
426 0 5
427 0 5
428 0 5
429 0 5
430 0 5
431 0 5
432 0 5
433 0 5
434 0 5
435 0 5
436 0 5
437 0 5
438 0 5
439 0 5
440 0 5
441 0 5
442 0 5
443 0 5
444 0 5
445 0 5
446 0 5
447 0 5
448 0 5
449 0 5
450 0 5
451 0 6
452 0 6
453 0 6
454 0 6
455 0 6
456 0 6
457 0 6
458 0 6
459 0 6
460 0 6
461 0 6
462 0 6
463 0 7
464 0 7
465 0 7
466 0 7
467 0 7
468 0 7
469 0 7
470 0 7
471 0 7
472 0 7
473 0 7
474 0 7
475 0 7
476 0 7
477 0 7
478 0 7
479 0 7
480 0 7
481 0 7
482 0 7
483 0 6
484 0 7
485 0 7
486 0 8
487 0 8
488 0 8
489 0 8
490 0 8
491 0 8
492 0 8
493 0 8
494 0 8
495 0 8
496 0 8
497 0 8
498 0 8
499 0 8
500 0 8
501 0 8
502 0 8
503 0 7
504 0 7
505 0 7
506 0 7
507 0 7
508 0 7
509 0 7
510 0 7
511 0 7
512 0 7
513 0 7
514 0 7
515 0 7
516 0 7
517 0 7
518 0 7
519 0 7
520 0 7
521 0 7
522 0 7
523 0 7
524 0 7
525 0 7
526 0 8
527 0 8
528 0 8
529 0 8
530 0 8
531 0 8
532 0 8
533 0 8
534 0 8
535 0 8
536 0 8
537 0 7
538 0 7
539 0 7
540 0 7
541 0 7
542 0 7
543 0 8
544 0 8
545 0 8
546 0 8
547 0 8
548 0 8
549 0 8
550 0 8
551 0 8
552 0 8
553 0 8
554 0 8
555 0 8
556 0 8
557 0 8
558 0 8
559 0 8
560 0 8
561 0 8
562 0 8
563 0 8
564 0 8
565 0 8
566 0 8
567 0 8
568 0 8
569 0 8
570 0 8
571 0 8
572 0 8
